exercise,utility,mechanics,target_muscles,synergist_muscles,stabilizer_muscles,dynamic_stabilizer_muscles,antagonist_stabilizer_muscles,minor_muscle,major_muscle
Weighted Crunch (plate on chest),Auxiliary,Isolated,rectus abdominis,['Obliques'],['No significant stabilizers'],[''],[''],Waist,Legs
Sled Side Leg Hip Raise (ab coaster),Auxiliary,Isolated,obliques,"['Rectus Abdominis', 'Iliopsoas', 'Tensor Fasciae Latae', 'Sartorius', 'Rectus Femoris']","['Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",[''],[''],Waist,Legs
Cable Forward Triceps Extension,Auxiliary,Isolated,triceps brachii,['None'],"['Latissimus Dorsi', 'Teres Major', 'Serratus Anterior', 'Deltoid, Posterior', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Obliques', 'Rectus Abdominis', 'Wrist Extensors']",[''],['Erector Spinae'],Upper Arms,Arms
Cable Seated Front Raise,Auxiliary,Isolated,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Front Neck Bridge,Basic or Auxiliary,Isolated,sternocleidomastoid,"['Splenius', 'Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers']","['Quadriceps', 'Erector Spinae', 'Rectus Abdominis', 'Obliques', 'Iliopsoas', 'Tensor Fasciae Latae', 'Sartorius', 'Gastrocnemius', 'Soleus']",[''],[''],Neck,Shoulders
Cable Lateral Raise,Basic or Auxiliary,Isolated,"deltoid, lateral","['Deltoid, Anterior', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Dumbbell Lying Pronation (arm down),Auxiliary,Isolated,pronators,['None'],['No significant stabilizers'],[''],[''],Forearms,Arms
Push-up,Basic or Auxiliary,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']","['Serratus Anterior', 'Pectoralis Minor', 'Rectus Abdominis', 'Obliques', 'Quadriceps']","['Biceps Brachii, Short Head']",['Erector Spinae'],Chest,Chest
Weighted Parallel Close Grip Pull-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Rear Pull-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Triceps, Long Head']",[''],Back,Back
Lever Pushdown,Basic or Auxiliary,Isolated,triceps brachii,['None'],"['Pectoralis Major, Sternal', 'Deltoid, Posterior', 'Latissimus Dorsi', 'Teres Major', 'Pectoralis Minor', 'Trapezius, Lower', 'Extensor Carpi Ulnaris', 'Flexor Carpi Ulnaris']",[''],[''],Upper Arms,Arms
Cable Rear Lunge,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Lower', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Bent Knee Side Bridge,Auxiliary,Isolated,obliques,"['Gluteus Medius', 'Gluteus Minimus', 'Tensor Fasciae Latae', 'Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis', 'Adductors, Hip', 'Pectineus', 'Gluteus Maximus, Lower Fibers', 'Deltoid, Lateral', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Levator Scapulae']","['Latissimus dorsi', 'Pectoralis major', 'Pectoralis minor']",[''],[''],Waist,Legs
Lever Donkey Calf Raise,Basic,Isolated,gastrocnemius,['Soleus'],"['Serratus Anterior', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular']",[''],[''],Calves,Legs
Cable Rear Lateral Raise,Auxiliary,Isolated,"deltoid, posterior","['Deltoid, Lateral', 'Infraspinatus', 'Teres Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']","['Triceps Brachii', 'Wrist Extensors', 'Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus', 'Quadriceps']",[''],"['Rectus Abdominis', 'Obliques']",Shoulders,Shoulders
Dumbbell Seated Upright Row,Basic,Compound,"deltoid, lateral","['Deltoid, Anterior', 'Supraspinatus', 'Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Infraspinatus', 'Teres Minor']","['Trapezius, Upper', 'Levator Scapulae', 'Triceps Brachii (opposite Arm)']",[''],[''],Shoulders,Shoulders
Pull-up (open-centered bar),Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Triceps, Long Head']",[''],Back,Back
Dumbbell Straight Leg Deadlift,Basic,Compound,erector spinae,"['Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']","['Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']",Back,Back
Cable Upright Shoulder External Rotation,Auxiliary,Isolated,teres minor,"['Infraspinatus', 'Deltoid, Posterior', 'Supraspinatus']","['Rhomboids', 'Trapezius, Lower', 'Trapezius, Middle', 'Serratus Anterior', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Band-assisted Neutral Grip Pull-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Triceps, Long Head']",[''],Back,Back
Lever Seated Shrug (plate loaded),Basic or Auxiliary,Isolated,"trapezius, upper","['Trapezius, Middle', 'Levator Scapulae']",['No significant stabilizers'],[''],[''],Back,Back
Dumbbell Lying Rear Lateral Raise,Auxiliary,Isolated,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']","['Triceps Brachii', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Weighted Twisting Sit-up (arms crossed),Basic,Compound,obliques,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Rectus Abdominis']",['Tibialis Anterior'],[''],[''],Waist,Legs
Lever Roller Wrist Extension,Auxiliary,Isolated,wrist extensors,['None'],['Wrist/Finger Flexors'],[''],[''],Forearms,Arms
Lever Push Crunch,Auxiliary,Isolated,rectus abdominis,['Obliques'],"['Pectoralis Major, Sternal', 'Pectoralis Minor', 'Deltoid, Anterior', 'Triceps', 'Quadriceps', 'Gluteus Maximus']",[''],[''],Waist,Legs
Dumbbell 45° Side Bend,Auxiliary,Isolated,obliques,"['Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Gluteus Medius', 'Gluteus Minimus']",[''],[''],Waist,Legs
Barbell Squat (with chains),Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']",['Erector Spinae'],"['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Lever Standing Hip Adduction,Auxiliary,Isolated,"adductors, hip","['Pectineus', 'Gracilis', 'Gluteus Maximus, Lower Fibers']","['Adductors, Hip (opposite)']",[''],[''],Hips,Legs
Sled Standing Triceps Dip,Basic,Compound,triceps brachii,"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']",['Biceps Brachii'],[''],Upper Arms,Arms
Weighted Incline Twisting Sit-up,Basic,Compound,obliques,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Rectus Abdominis']",['Tibialis Anterior'],[''],[''],Waist,Legs
"Barbell Lying Triceps Extension ""Skull Crusher""",Basic,Isolated,triceps brachii,['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Safety Bar Reverse Calf Raise,Basic or Auxiliary,Isolated,tibialis anterior,['None'],['No significant stabilizers'],[''],[''],Calves,Legs
Dumbbell Reclined Shoulder Press,Basic,Compound,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Pectoralis Major, Clavicular']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head', 'Biceps Brachii']",[''],Shoulders,Shoulders
Incline Sit-up (arms crossed),Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Obliques']",['Tibialis Anterior'],[''],[''],Waist,Legs
Barbell Seated Good-morning,Auxiliary,Isolated,gluteus maximus,"['Adductor Magnus', 'Hamstrings']",['Erector Spinae'],[''],"['Rectus Abdominis', 'Obliques']",Hips,Legs
Side Bridge,Auxiliary,Isolated,obliques,"['Gluteus Medius', 'Gluteus Minimus', 'Tensor Fasciae Latae', 'Quadratus Lumborum', 'Psoas Major', 'Iliocastalis Lumborum', 'Iliocastalis Thoracis', 'Adductors, Hip', 'Pectineus', 'Gracilis', 'Gluteus Maximus, Lower Fibers', 'Deltoid, Lateral', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Latissimus Dorsi', 'Pectoralis Major', 'Pectoralis Minor', 'Levator Scapulae']",[''],[''],Waist,Legs
Lever Chest Dip (plate loaded),Basic,Compound,"pectoralis major, sternal","['Deltoid, Anterior', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi', 'Teres Major']","['Trapezius, Lower']",[''],[''],Chest,Chest
Cable Belt Half Squat,Basic or Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Thighs,Legs
Cable Straight-back Stiff-leg Deadlift,Auxiliary,Isolated,gluteus maximus,"['Hamstrings', 'Adductor Magnus']","['Erector Spinae', 'Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']",Hips,Legs
Inverted Row (feet elevated),Basic or Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus']","['Biceps Brachii', 'Triceps, Long Head']","['Rectus Abdominis', 'Obliques']",Back,Back
Suspended Pull Through,Auxiliary,Compound,rectus abdominis,"['Obliques', 'Iliopsoas', 'Tensor Fasciae Latae', 'Sartorius']","['Pectoralis Minor', 'Pectoralis Major', 'Latissimus Dorsi', 'Deltoid, Anterior', 'Trapezius, Lower', 'Triceps Brachii']",[''],"['Rectus Abdominis', 'Obliques']",Waist,Legs
Lever Alternating Lying Leg Curl,Basic or Auxiliary,Isolated,hamstrings,"['Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']",[''],[''],"['Tibialis Anterior', 'Rectus Femoris']",Thighs,Legs
Lever Wide Grip Seated Row,Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Cable Incline Triceps Extension,Basic,Isolated,triceps brachii,['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Sled Seated Calf Press (on lying leg press),Basic,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
Dumbbell Standing Preacher Curl (on incline bench),Auxiliary,Isolated,brachialis,"['Biceps Brachii', 'Brachioradialis']",['Wrist Flexors'],[''],[''],Upper Arms,Arms
Single Leg Stiff-leg Deadlift,Auxiliary,Isolated,gluteus maximus (supporting leg),"['Hamstrings', 'Adductor Magnus']","['Erector Spinae', 'Quadriceps', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques', 'Gluteus Maximus (lifted leg)']",[''],"['Rectus Abdominis', 'Obliques']",Hips,Legs
Cable Side Bend,Auxiliary,Isolated,obliques,"['Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus']",[''],[''],Waist,Legs
Barbell Glute-Ham Raise,Basic or Auxiliary,Isolated,hamstrings,"['Gluteus Maximus', 'Adductor Magnus', 'Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']",['Erector Spinae'],[''],"['Rectus Abdominis', 'Obliques', 'Tibialis Anterior']",Thighs,Legs
Sled Lying Leg Press,Basic,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Barbell Bent Arm Pullover,Auxiliary,Isolated,latissimus dorsi,"['Pectoralis Major, Sternal', 'Triceps, Long Head', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Pectoralis Minor']","['Triceps Brachii', 'Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Wrist Flexors']",[''],[''],Back,Back
Lying Leg Raise (on bench),Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Quadriceps']",['Rectus Femoris'],[''],Waist,Legs
Barbell Single Leg Split Squat,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus']","['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Suspended Bent-knee Inverted Row,Basic or Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Gluteus Maximus']","['Biceps Brachii', 'Triceps, Long Head']","['Rectus Abdominis', 'Obliques']",Back,Back
Plank Twist (on stability ball),Auxiliary,Isolated,obliques,"['Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Serratus Anterior', 'Deltoid, Anterior', 'Triceps Brachii', 'Quadriceps', 'Iliopsoas', 'Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Adductor Longus', 'Adductor Brevis', 'Rectus Femoris', 'Rectus Abdominis']",[''],[''],Waist,Legs
Crunch (arms crossed),Auxiliary,Isolated,rectus abdominis,['Obliques'],['No significant stabilizers'],[''],[''],Waist,Legs
Safety Barbell Squat (long handles),Basic,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']",['Erector Spinae'],"['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
"Lever Lying Leg Curl (on reverse hyper-extension machine, plate loaded)",Basic,Isolated,hamstrings,"['Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']",[''],[''],['Tibialis Anterior'],Thighs,Legs
Cable Standing Rear Delt Row (with rope),Basic or Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']",['Erector Spinae'],['Biceps Brachii'],"['Rectus Abdominis', 'Obliques']",Shoulders,Shoulders
Weighted Hanging Leg-Hip Raise,Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']",[''],['Rectus Femoris'],[''],Waist,Legs
Cable Reverse Calf Raise,Basic or Auxiliary,Isolated,tibialis anterior,['None'],['No significant stabilizers'],[''],[''],Calves,Legs
Weighted Donkey Calf Raise,Basic,Isolated,gastrocnemius,['Soleus'],"['Serratus Anterior', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Triceps brachii']",[''],[''],Calves,Legs
Suspended Jack-knife,Basic or Auxiliary,Compound,rectus abdominis,"['Obliques', 'Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Pectoralis Major', 'Serratus Anterior', 'Deltoid, Anterior', 'Triceps Brachii', 'Quadriceps']",['Rectus Femoris'],"['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']",Waist,Legs
Hanging Windshield Wiper,Auxiliary,Isolated,obliques,"['Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Rectus abdominis', 'Iliopsoas', 'Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Adductor Longus', 'Adductor Brevis', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Adductors, Hip']",[''],[''],Waist,Legs
Lying Scissor Kick,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Rectus Femoris', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Quadriceps']",[''],[''],Waist,Legs
Suspended Single Leg Straight Hip Leg Curl (on bench),Basic or Auxiliary,Isolated,hamstrings,"['Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']","['Gluteus Maximus', 'Erector Spinae', 'Obliques', 'Quadratus Lumborum', 'Quadriceps']",[''],"['Tibialis Anterior', 'Rectus Abdominis']",Thighs,Legs
Barbell 45° Back Extension (on hyperextension apparatus),Auxiliary,Isolated,erector spinae,[' '],"['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head', 'Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Trapezius, Lower', 'Pectoralis Minor', 'Rhomboids']",[''],[''],Back,Back
Weighted Hanging Straight Leg Raise,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Rectus Femoris', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Quadriceps']",[''],[''],Waist,Legs
Lever Wide Grip Seated Row (plate loaded),Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Cable One Arm Standing Preacher Curl,Auxiliary,Isolated,brachialis,"['Biceps Brachii', 'Brachioradialis']",['Wrist Flexors'],[''],[''],Upper Arms,Arms
Rear Delt Inverted Row,Basic or Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Deltoid, Lateral']",['Biceps Brachii'],"['Rectus Abdominis', 'Obliques']",Shoulders,Shoulders
Cable Seated Front Lateral Raise,Auxiliary,Isolated,supraspinatus,"['Deltoid, Lateral', 'Deltoid, Anterior', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior']","['Trapezius, Upper', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Jack-knife Sit-up (on bench),Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']",[''],['Rectus Femoris'],[''],Waist,Legs
Cable Bent-over Leg Curl,Basic or Auxiliary,Compound,hamstrings,"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Iliopsoas', 'Tensor Fasciae Latae', 'Popliteus']","['Gluteus Medius', 'Gluteus Minimus']",['Rectus Femoris'],['Tibialis Anterior'],Thighs,Legs
Lever Barbell Side Bend (plate loaded),Auxiliary,Isolated,obliques,"['Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus']",[''],[''],Waist,Legs
Dumbbell One Arm Triceps Extension (on bench),Basic or Auxiliary,Isolated,triceps brachii,['None'],"['Wrist Extensors', 'Flexor Carpi Ulnaris']",[''],[''],Upper Arms,Arms
Self-assisted Single Leg Calf Raise (with opposite leg),Basic or Auxiliary,Isolated,gastrocnemius,"['Soleus', 'Quadriceps', 'Gluteus Maximus']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']",[''],[''],Calves,Legs
